country,time,new_cases,confirmed_cases,confirmed_cases_per_million,people_vaccinated,people_fully_vaccinated,confirmed_deaths
Afghanistan,2021-12-05,,"157,454","3,952.61",8.86%,8.00%,"7,312"
Afghanistan,2021-12-06,45,"157,499","3,953.74",8.86%,8.00%,"7,316"
Afghanistan,2021-12-07,9,"157,508","3,953.97",8.86%,8.00%,"7,317"
Afghanistan,2021-12-08,34,"157,542","3,954.82",8.86%,8.00%,"7,319"
Afghanistan,2021-12-09,43,"157,585","3,955.90",8.86%,8.00%,"7,321"
Afghanistan,2021-12-10,18,"157,603","3,956.35",8.86%,8.00%,"7,324"
Afghanistan,2021-12-11,8,"157,611","3,956.55",8.86%,8.00%,"7,325"
Afghanistan,2021-12-12,22,"157,633","3,957.11",8.86%,8.00%,"7,328"
Afghanistan,2021-12-13,15,"157,648","3,957.48",8.86%,8.00%,"7,328"
Afghanistan,2021-12-14,12,"157,660","3,957.78",8.86%,8.00%,"7,329"
Afghanistan,2021-12-15,5,"157,665","3,957.91",8.86%,8.00%,"7,331"
Afghanistan,2021-12-16,60,"157,725","3,959.41",8.86%,8.00%,"7,332"
Afghanistan,2021-12-17,9,"157,734","3,959.64",8.86%,8.00%,"7,332"
Afghanistan,2021-12-18,11,"157,745","3,959.92",8.86%,8.00%,"7,333"
Afghanistan,2021-12-19,42,"157,787","3,960.97",8.86%,8.00%,"7,335"
Afghanistan,2021-12-20,10,"157,797","3,961.22",8.86%,8.00%,"7,335"
Africa,2021-12-05,,8.74 million,"6,362.47",11.54%,7.66%,"223,492"
Africa,2021-12-06,"11,032",8.75 million,"6,370.50",11.74%,7.73%,"223,635"
Africa,2021-12-07,"20,150",8.77 million,"6,385.17",11.76%,7.74%,"223,763"
Africa,2021-12-08,"33,732",8.80 million,"6,409.73",11.92%,7.82%,"223,923"
Africa,2021-12-09,"32,459",8.84 million,"6,433.37",12.25%,7.93%,"224,032"
Africa,2021-12-10,"27,165",8.86 million,"6,453.14",12.28%,7.96%,"224,145"
Africa,2021-12-11,"32,984",8.90 million,"6,477.16",12.41%,8.03%,"224,299"
Africa,2021-12-12,"45,379",8.94 million,"6,510.20",12.49%,8.06%,"224,409"
Africa,2021-12-13,"17,062",8.96 million,"6,522.62",12.53%,8.10%,"224,485"
Africa,2021-12-14,"38,980",9.00 million,"6,551.00",12.64%,8.17%,"224,684"
Africa,2021-12-15,"44,313",9.04 million,"6,583.26",12.88%,8.37%,"224,830"
Africa,2021-12-16,"44,323",9.09 million,"6,615.53",12.92%,8.40%,"224,972"
Africa,2021-12-17,"41,557",9.13 million,"6,645.79",12.93%,8.41%,"225,102"
Africa,2021-12-18,"28,201",9.16 million,"6,666.32",13.01%,8.48%,"225,236"
Africa,2021-12-19,"29,124",9.19 million,"6,687.53",13.03%,8.50%,"225,329"
Africa,2021-12-20,"33,372",9.22 million,"6,711.82",13.31%,8.61%,"225,608"
Albania,2021-12-05,,"201,730","70,217.41",37.73%,33.96%,"3,110"
Albania,2021-12-06,172,"201,902","70,277.28",37.84%,34.05%,"3,115"
Albania,2021-12-07,393,"202,295","70,414.08",37.96%,34.15%,"3,122"
Albania,2021-12-08,346,"202,641","70,534.51",38.02%,34.20%,"3,126"
Albania,2021-12-09,222,"202,863","70,611.79",38.02%,34.20%,"3,128"
Albania,2021-12-10,352,"203,215","70,734.31",38.02%,34.20%,"3,130"
Albania,2021-12-11,309,"203,524","70,841.86",38.02%,34.20%,"3,132"
Albania,2021-12-12,263,"203,787","70,933.41",38.38%,34.54%,"3,134"
Albania,2021-12-13,138,"203,925","70,981.44",38.48%,34.65%,"3,140"
Albania,2021-12-14,376,"204,301","71,112.32",38.59%,34.75%,"3,144"
Albania,2021-12-15,326,"204,627","71,225.79",38.69%,34.85%,"3,152"
Albania,2021-12-16,301,"204,928","71,330.56",38.69%,34.85%,"3,156"
Albania,2021-12-17,296,"205,224","71,433.59",38.69%,34.85%,"3,158"
Albania,2021-12-18,325,"205,549","71,546.72",38.96%,35.10%,"3,161"
Albania,2021-12-19,228,"205,777","71,626.08",38.96%,35.10%,"3,166"
Albania,2021-12-20,120,"205,897","71,667.85",38.96%,35.10%,"3,172"
Algeria,2021-12-05,,"211,469","4,739.69",15.41%,12.08%,"6,103"
Algeria,2021-12-06,193,"211,662","4,744.02",15.41%,12.08%,"6,111"
Algeria,2021-12-07,197,"211,859","4,748.43",15.41%,12.08%,"6,114"
Algeria,2021-12-08,188,"212,047","4,752.65",15.41%,12.08%,"6,122"
Algeria,2021-12-09,177,"212,224","4,756.61",15.41%,12.08%,"6,126"
Algeria,2021-12-10,210,"212,434","4,761.32",15.41%,12.08%,"6,132"
Algeria,2021-12-11,218,"212,652","4,766.20",15.41%,12.08%,"6,137"
Algeria,2021-12-12,196,"212,848","4,770.60",15.41%,12.08%,"6,145"
Algeria,2021-12-13,210,"213,058","4,775.31",15.41%,12.08%,"6,151"
Algeria,2021-12-14,230,"213,288","4,780.46",15.73%,12.45%,"6,155"
Algeria,2021-12-15,245,"213,533","4,785.95",15.73%,12.45%,"6,165"
Algeria,2021-12-16,212,"213,745","4,790.70",15.73%,12.45%,"6,171"
Algeria,2021-12-17,299,"214,044","4,797.40",15.73%,12.45%,"6,175"
Algeria,2021-12-18,286,"214,330","4,803.81",15.73%,12.45%,"6,180"
